Año,CodEstablecimiento,Departamento,Depto_mupio,Sector,Area,Sexo,Grado,Nivel,Pueblo,Plan_estudios,Jornada,Resultado,Repitente,Graduando,municipio_codigo,Sector_codigo,Área_codigo,Sexo_codigo,Nivel_codigo,Pueblo_Per_codigo,Plan_Est_codigo,Jornada_Est_codigo,Resultado_F_codigo,Repitente_codigo,Graduando_codigo,Departamento_F_codigo
2024,19-09-0282-43,Zacapa,1901,Público,Rural,Hombre,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-09,1,2,1,2,5,1,1,1,2,2,19
2024,02-02-0014-46,El Progreso,201,Cooperativa,Urbana,Mujer,5,Diversificado,Ladino/Mestizo,Diario,Vespertina,Promovido,Sí,Sí,02-02,4,1,2,4,5,1,2,1,1,1,2
2024,15-07-0248-43,Baja Verapaz,1501,Público,Rural,Hombre,5,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-07,1,2,1,2,5,1,1,1,2,2,15
2024,15-01-0049-45,Baja Verapaz,1501,Cooperativa,Urbana,Hombre,3,Básico,Ladino/Mestizo,Diario,Nocturna,No promovido,Sí,No,15-01,4,1,1,3,5,1,3,5,1,2,15
2024,19-06-0216-43,Zacapa,1901,Público,Urbana,Mujer,5,Primaria,Ladino/Mestizo,Diario,Matutina,Retirado,No,No,19-06,1,1,2,2,5,1,1,3,2,2,19
2024,15-07-0664-42,Baja Verapaz,1501,Público,Rural,Hombre,3,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-07,1,2,1,1,5,1,1,1,2,2,15
2024,02-06-0243-45,El Progreso,201,Público,Urbana,Mujer,1,Básico,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-06,1,1,2,3,5,1,1,1,2,2,2
2024,19-02-1084-43,Zacapa,1901,Privado,Urbana,Mujer,6,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-02,2,1,2,2,5,1,1,1,2,2,19
2024,19-11-0010-43,Zacapa,1901,Público,Urbana,Mujer,1,Primaria,Ladino/Mestizo,Diario,Matutina,No promovido,Sí,No,19-11,1,1,2,2,5,1,1,5,1,2,19
2024,15-03-0130-43,Baja Verapaz,1501,Público,Rural,Mujer,4,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-03,1,2,2,2,1,1,1,1,2,2,15
2024,02-03-0083-43,El Progreso,201,Público,Rural,Mujer,3,Primaria,Ladino/Mestizo,Diario,Matutina,Retirado,No,No,02-03,1,2,2,2,5,1,1,3,2,2,2
2024,02-01-0027-46,El Progreso,201,Público,Urbana,Hombre,5,Diversificado,Ladino/Mestizo,Diario,Doble,Promovido,No,Sí,02-01,1,1,1,4,5,1,4,1,2,1,2
2024,02-03-0670-42,El Progreso,201,Público,Rural,Mujer,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-03,1,2,2,1,5,1,1,1,2,2,2
2024,15-04-0136-43,Baja Verapaz,1501,Público,Urbana,Mujer,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-04,1,1,2,2,5,1,1,1,2,2,15
2024,19-06-0685-42,Zacapa,1901,Público,Rural,Hombre,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-06,1,2,1,1,5,1,1,1,2,2,19
2024,15-01-0763-42,Baja Verapaz,1501,Público,Urbana,Mujer,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-01,1,1,2,1,5,1,1,1,2,2,15
2024,02-07-0160-43,El Progreso,201,Público,Urbana,Mujer,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-07,1,1,2,2,5,1,1,1,2,2,2
2024,02-07-0160-43,El Progreso,201,Público,Urbana,Hombre,5,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-07,1,1,1,2,5,1,1,1,2,2,2
2024,02-03-0060-43,El Progreso,201,Público,Urbana,Mujer,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-03,1,1,2,2,5,1,1,1,2,2,2
2024,02-03-0100-45,El Progreso,201,Cooperativa,Urbana,Mujer,2,Básico,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,02-03,4,1,2,3,5,1,2,1,2,2,2
2024,19-03-0016-45,Zacapa,1901,Público,Rural,Mujer,2,Básico,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-03,1,2,2,3,5,1,1,1,2,2,19
2024,19-01-0017-43,Zacapa,1901,Privado,Urbana,Hombre,6,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-01,2,1,1,2,5,1,1,1,2,2,19
2024,19-04-1097-42,Zacapa,1901,Público,Rural,Mujer,1,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-04,1,2,2,1,5,1,1,1,2,2,19
2024,15-08-0049-43,Baja Verapaz,1501,Público,Rural,Hombre,1,Primaria,Maya,Diario,Matutina,No promovido,No,No,15-08,1,2,1,2,1,1,1,5,2,2,15
2024,15-08-0206-46,Baja Verapaz,1501,Privado,Urbana,Hombre,4,Diversificado,Maya,Fin de semana,Doble,Promovido,No,No,15-08,2,1,1,4,1,2,4,1,2,2,15
2024,15-04-0099-45,Baja Verapaz,1501,Público,Urbana,Hombre,2,Básico,Ladino/Mestizo,Diario,Matutina,No promovido,No,No,15-04,1,1,1,3,5,1,1,5,2,2,15
2024,19-03-0838-42,Zacapa,1901,Público,Rural,Hombre,4,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-03,1,2,1,1,5,1,1,1,2,2,19
2024,19-05-0207-43,Zacapa,1901,Público,Rural,Hombre,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-05,1,2,1,2,5,1,1,1,2,2,19
2024,19-03-0004-46,Zacapa,1901,Cooperativa,Urbana,Mujer,5,Diversificado,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,19-03,4,1,2,4,5,1,2,1,2,2,19
2024,15-08-0103-45,Baja Verapaz,1501,Público,Rural,Mujer,1,Básico,Maya,Diario,Vespertina,Promovido,No,No,15-08,1,2,2,3,1,1,2,1,2,2,15
2024,19-08-0248-43,Zacapa,1901,Público,Rural,Hombre,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,Sí,No,19-08,1,2,1,2,5,1,1,1,1,2,19
2024,02-08-0219-43,El Progreso,201,Público,Rural,Hombre,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-08,1,2,1,2,5,1,1,1,2,2,2
2024,15-04-0193-42,Baja Verapaz,1501,Público,Rural,Mujer,6,Preprimaria,Maya,Diario,Matutina,Promovido,No,No,15-04,1,2,2,1,1,1,1,1,2,2,15
2024,15-08-0280-43,Baja Verapaz,1501,Público,Rural,Mujer,1,Primaria,Maya,Diario,Matutina,Retirado,No,No,15-08,1,2,2,2,1,1,1,3,2,2,15
2024,19-04-1097-42,Zacapa,1901,Público,Rural,Hombre,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-04,1,2,1,1,5,1,1,1,2,2,19
2024,15-03-1478-42,Baja Verapaz,1501,Público,Rural,Mujer,2,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-03,1,2,2,1,5,1,1,1,2,2,15
